iter	Passed	Remaining
458	805	948
459	807	947
460	808	945
461	810	943
462	811	941
463	812	939
464	813	936
465	814	933
466	815	931
467	816	928
468	817	925
469	819	923
470	820	921
471	822	919
472	823	917
473	824	914
474	825	912
475	826	909
476	827	907
477	828	904
478	829	902
479	830	899
480	831	897
481	832	894
482	835	893
483	836	892
484	838	890
485	840	888
486	841	886
487	842	884
488	843	881
489	844	879
490	845	876
491	846	874
492	847	871
493	848	869
494	850	867
495	851	865
496	852	863
497	853	860
498	855	858
499	856	856
500	857	854
501	858	851
502	859	849
503	860	847
504	861	844
505	862	842
506	864	840
507	867	839
508	868	837
509	870	836
510	871	833
511	872	831
512	873	829
513	874	826
514	875	824
515	877	822
516	878	820
517	880	819
518	882	818
519	884	816
520	885	813
521	886	811
522	887	809
523	888	807
524	889	805
525	890	802
526	892	800
527	894	799
528	896	797
529	897	796
530	899	794
531	900	792
532	901	790
533	903	788
534	904	785
535	905	783
536	906	781
537	908	780
538	910	778
539	911	776
540	912	774
541	913	772
542	915	770
543	916	768
544	917	766
545	918	763
546	919	761
547	921	760
548	923	758
549	924	756
550	926	754
551	927	753
552	929	751
553	930	749
554	931	747
555	932	744
556	933	742
557	934	740
558	936	738
559	938	737
560	939	735
561	940	733
562	941	731
563	942	728
564	944	726
565	944	724
566	945	722
567	946	720
568	947	718
569	948	715
570	951	714
571	952	713
572	954	711
573	955	709
574	957	707
575	958	705
576	960	703
577	961	701
578	962	699
579	963	697
580	965	696
581	967	694
582	968	692
583	969	690
584	971	688
585	972	686
586	973	684
587	974	682
588	975	680
589	976	678
590	977	676
591	978	674
592	980	672
593	981	670
594	982	668
595	984	667
596	985	665
597	987	663
598	988	661
599	989	659
600	990	657
601	991	655
602	992	653
603	997	653
604	998	652
605	1000	650
606	1001	648
607	1002	646
608	1003	644
609	1004	642
610	1005	640
611	1006	638
612	1007	636
613	1009	634
614	1011	633
615	1013	631
616	1015	630
617	1016	628
618	1017	626
619	1019	624
620	1020	622
621	1021	620
622	1024	619
623	1025	618
624	1027	616
625	1028	614
626	1029	612
627	1031	610
628	1032	609
629	1033	607
630	1035	605
631	1036	603
632	1038	602
633	1040	600
634	1041	598
635	1043	597
636	1044	595
637	1045	593
638	1047	591
639	1048	589
640	1049	587
641	1051	586
642	1053	584
643	1055	583
644	1056	581
645	1058	579
646	1059	577
647	1060	576
648	1061	574
649	1062	572
650	1063	570
651	1064	568
652	1065	566
653	1067	564
654	1069	563
655	1070	561
656	1072	559
657	1073	557
658	1074	555
659	1075	554
660	1076	552
661	1077	550
662	1079	548
663	1080	546
664	1082	545
665	1083	543
666	1085	541
667	1086	540
668	1087	538
669	1088	536
670	1089	534
671	1091	532
672	1092	530
673	1093	529
674	1094	527
675	1096	525
676	1097	523
677	1099	521
678	1100	520
679	1101	518
680	1102	516
681	1103	514
682	1105	512
683	1106	510
684	1107	509
685	1108	507
686	1109	505
687	1111	504
688	1113	502
689	1114	500
690	1115	498
691	1116	497
692	1117	495
693	1118	493
694	1119	491
695	1121	489
696	1122	487
697	1122	485
698	1123	483
699	1125	482
700	1126	480
701	1128	479
702	1129	477
703	1131	475
704	1132	473
705	1133	472
706	1134	470
707	1135	468
708	1137	466
709	1137	464
710	1138	462
711	1141	461
712	1142	460
713	1143	458
714	1145	456
715	1146	454
716	1147	452
717	1148	450
718	1149	449
719	1150	447
720	1151	445
721	1151	443
722	1152	441
723	1153	439
724	1155	438
725	1156	436
726	1157	434
727	1159	433
728	1160	431
729	1161	429
730	1162	427
731	1163	426
732	1164	424
733	1165	422
734	1166	420
735	1167	418
736	1168	416
737	1170	415
738	1171	413
739	1173	412
740	1174	410
741	1175	408
742	1177	407
743	1178	405
744	1179	403
745	1180	401
746	1181	400
747	1182	398
748	1183	396
749	1184	394
750	1185	393
751	1187	391
752	1188	389
753	1189	388
754	1190	386
755	1191	384
756	1192	382
757	1193	381
758	1194	379
759	1195	377
760	1196	375
761	1197	373
762	1198	372
763	1200	370
764	1201	369
765	1202	367
766	1203	365
767	1204	363
768	1205	362
769	1207	360
770	1208	358
